id,y
0,4
1,1
2,3
3,4
4,3
5,1
6,3
7,1
8,3
9,3
10,3
11,4
12,3
13,3
14,1
15,1
16,3
17,1
18,4
19,1
20,1
21,3
22,3
23,1
24,1
25,1
26,4
27,1
28,1
29,1
30,3
31,1
32,4
33,3
34,4
35,1
36,4
37,3
38,1
39,3
40,4
41,1
42,3
43,1
44,1
45,3
46,1
47,4
48,4
49,3
50,0
51,3
52,4
53,2
54,4
55,3
56,4
57,3
58,4
59,1
60,3
61,1
62,4
63,1
64,1
65,3
66,2
67,4
68,2
69,1
70,4
71,1
72,1
73,1
74,4
75,1
76,2
77,1
78,3
79,3
80,1
81,4
82,2
83,3
84,1
85,1
86,4
87,1
88,1
89,4
90,2
91,4
92,4
93,4
94,2
95,4
96,4
97,1
98,4
99,3
100,4
101,4
102,4
103,4
104,3
105,4
106,3
107,1
108,1
109,4
110,1
111,1
112,2
113,0
114,4
115,4
116,2
117,3
118,4
119,1
120,1
121,4
122,1
123,2
124,4
125,2
126,4
127,3
128,1
129,4
130,4
131,1
132,0
133,3
134,4
135,4
136,3
137,4
138,3
139,1
140,1
141,1
142,1
143,4
144,0
145,1
146,4
147,1
148,0
149,4
150,3
151,2
152,1
153,4
154,0
155,4
156,2
157,3
158,3
159,1
160,3
161,1
162,1
163,2
164,4
165,4
166,4
167,1
168,3
169,3
170,4
171,0
172,3
173,0
174,1
175,4
176,0
177,1
178,4
179,4
180,0
181,0
182,4
183,0
184,2
185,4
186,4
187,4
188,4
189,0
190,4
191,4
192,1
193,1
194,4
195,4
196,0
197,0
198,4
199,4
200,4
201,1
202,4
203,1
204,1
205,2
206,4
207,4
208,4
209,0
210,4
211,0
212,4
213,4
214,2
215,4
216,0
217,1
218,4
219,3
220,4
221,0
222,2
223,0
224,0
225,0
226,4
227,0
228,3
229,4
230,4
231,4
232,4
233,1
234,1
235,0
236,0
237,0
238,2
239,0
240,1
241,4
242,1
243,0
244,3
245,1
246,4
247,1
248,4
249,4
250,2
251,0
252,1
253,4
254,3
255,4
256,3
257,0
258,3
259,0
260,4
261,4
262,0
263,4
264,1
265,4
266,4
267,2
268,3
269,0
270,3
271,2
272,0
273,1
274,2
275,1
276,2
277,0
278,1
279,3
280,4
281,0
282,1
283,1
284,1
285,0
286,4
287,0
288,4
289,4
290,1
291,0
292,4
293,4
294,1
295,0
296,0
297,0
298,4
299,4
300,3
301,4
302,0
303,0
304,0
305,4
306,4
307,0
308,2
309,0
310,2
311,4
312,4
313,0
314,0
315,2
316,4
317,0
318,2
319,1
320,3
321,2
322,1
323,4
324,0
325,0
326,0
327,4
328,2
329,4
330,4
331,4
332,4
333,2
334,4
335,0
336,2
337,1
338,2
339,2
340,4
341,1
342,1
343,0
344,0
345,4
346,2
347,0
348,2
349,1
350,0
351,4
352,2
353,4
354,0
355,0
356,2
357,2
358,0
359,1
360,2
361,4
362,0
363,1
364,3
365,0
366,2
367,2
368,2
369,0
370,3
371,4
372,2
373,4
374,0
375,4
376,1
377,1
378,2
379,3
380,0
381,4
382,2
383,2
384,1
385,2
386,4
387,4
388,0
389,2
390,4
391,1
392,1
393,2
394,4
395,4
396,4
397,4
398,4
399,2
400,4
401,4
402,1
403,4
404,1
405,0
406,0
407,4
408,0
409,0
410,4
411,3
412,3
413,3
414,2
415,4
416,2
417,4
418,1
419,1
420,0
421,0
422,0
423,2
424,2
425,2
426,0
427,3
428,0
429,3
430,2
431,2
432,1
433,0
434,0
435,4
436,2
437,0
438,2
439,2
440,0
441,2
442,0
443,0
444,1
445,4
446,4
447,0
448,2
449,2
450,4
451,0
452,4
453,0
454,2
455,0
456,0
457,0
458,0
459,2
460,4
461,4
462,4
463,1
464,0
465,4
466,2
467,4
468,0
469,4
470,1
471,0
472,3
473,1
474,2
475,1
476,4
477,0
478,0
479,1
480,2
481,3
482,4
483,1
484,4
485,1
486,2
487,2
488,4
489,4
490,4
491,4
492,4
493,2
494,1
495,0
496,1
497,1
498,3
499,1
500,1
501,2
502,4
503,4
504,2
505,4
506,2
507,4
508,3
509,4
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,0
519,3
520,2
521,4
522,0
523,4
524,1
525,2
526,1
527,0
528,0
529,2
530,1
531,4
532,4
533,4
